331708	fra	Je rajoute une phrase d'exemple.	2019-01-12 19:39:42
331955	fra	J'espère que je ne serai plus malade la semaine prochaine.	2019-01-12 19:39:42
333358	fra	Alain me dit que ça ne marche pas, donc je teste pour savoir si ça marche.	2019-01-12 19:39:42
333372	fra	Je fais un autre test.	2019-01-12 19:39:42
333440	fra	L'homme que tu as vu hier est mon oncle.	2019-01-12 19:39:42
333441	fra	C'est l'homme dont les enfants sont si gentils.	2019-01-12 19:39:42
333444	fra	C'est l'aide dont nous avons besoin.	2019-01-12 19:39:42
333639	fra	Il a toujours de meilleures notes que moi bien qu'il travaille moins.	2019-01-12 19:39:42
333641	fra	Le film était ennuyeux ; le meilleur moment, c'était la fin.	2019-01-12 19:39:42
333644	fra	Je vais plus souvent à Bruxelles qu'à Paris.	2019-01-12 19:39:42
333863	fra	Quand j'étais petite, je ne portais que des pantalons.	2019-01-12 19:39:42
333865	fra	Appelle-moi dès que tu l'auras rencontré !	2019-01-12 19:39:42
333867	fra	C'est l'homme que je vois tous les jours dans le train.	2019-01-12 19:39:42
336394	fra	Comme quoi, c'est pas si facile...	2019-01-12 19:39:43
337416	fra	Je n'arrive pas à m'endormir.	2019-01-12 19:39:43
337964	fra	J'ai besoin de neuf heures de sommeil.	2019-01-12 19:39:43
337966	fra	Tu dors vraiment beaucoup !	2019-01-12 19:39:43
343332	fra	Qu'est-ce qui m'a pris de me lever à 5h du matin...	2019-01-12 19:39:43
345233	fra	Je suis allé me faire vacciner.	2019-01-12 19:39:43
346872	fra	J'ai un peu de temps, mais toujours pas beaucoup...	2019-01-12 19:39:43
348620	fra	C'est le bordel dans ma chambre.	2019-01-12 19:39:43
369315	fra	Trier vos emballages, c'est participer activement à la préservation de l'environnement.	2019-01-12 19:39:43
369316	fra	À consommer de préférence avant le 01/09/2010.	2019-01-12 19:39:43
369317	fra	Nous n'ajoutons aucun conservateur dans nos recettes pour vous offrir un goût intact.	2019-01-12 19:39:43
373171	fra	Cette crème adoucit, régénère et soulage les mains les plus sèches.	2019-01-12 19:39:43
373572	fra	Avez-vous une carte de fidélité ?	2019-01-12 19:39:43
373573	fra	C'est du pipeau tout ça.	2019-01-12 19:39:43
378664	fra	Pourquoi tant de haine ?	2019-01-12 19:39:43
387076	fra	De toutes façons, c'est toujours de ma faute.	2019-01-12 19:39:43
387079	fra	J'aurais mieux fait de m'exiler au sommet d'une montagne, et passer mes journées à faire pousser des bonzaïs et à écrire des kanjis à l'encre de Chine.	2019-01-12 19:39:43
387264	fra	C'est la misère.	2019-01-12 19:39:43
387265	fra	Je n'ai plus que du beurre dans mon frigo.	2019-01-12 19:39:43
387279	fra	Tu t'en sors ? Je peux t'aider si tu veux.	2019-01-12 19:39:43
785666	fra	Vous pouvez écrire dans la langue que vous voulez. Sur Tatoeba, toutes les langues sont égales.	2019-01-12 19:39:43
1590922	fra	« Et alors la marmotte, elle met le chocolat dans le papier d'alu. » - « Mais bien sûr ! »	2019-01-22 13:19:43
7028635	fra	Le premier instrument du génie d'un peuple, c'est sa langue.	2019-01-23 21:24:14
7054783	fra	Ce que femme veut, Dieu le veut.	2019-01-23 21:24:16
7055355	fra	Le temps, je sais ce que c'est… jusqu'à ce qu'on me le demande.	2019-01-23 21:24:16
7055688	fra	A l'impossible, nul n'est tenu.	2019-01-23 21:24:17
7057343	fra	Takfarinas a allumé Bougie.	2019-01-23 21:24:17
7061795	fra	Attention ! Les portes vont se fermer !	2019-11-26 15:18:43
7062166	fra	La pie niche haut, l'oie niche bas.	2019-01-23 21:24:18
7062184	fra	La coupe est pleine!	2019-01-23 21:24:18
7064515	fra	Mener les poules pisser et les ramener sans boire!	2019-01-23 21:24:19
7072462	fra	Le comble d'un dentiste est d'extraire des racines carrées.	2019-01-23 21:24:20
7072494	fra	L'âne au lac a bu l'eau.	2019-01-23 21:24:20
7072548	fra	La pie niche haut. L'oie niche bas.	2019-01-23 21:24:20
7085438	fra	Encore eût-il fallu que vous le sussiez!	2019-01-23 21:24:22
7098219	fra	Il a lâché la proie pour l'ombre.	2019-01-23 21:24:26
7104385	fra	Je partirai la semaine prochaine!	2019-01-23 21:24:27
7105944	fra	Poison, quand tu nous tiens!	2019-01-23 21:24:29
7106005	fra	Attends de vieillir pour farfouiller dans les boutons!	2019-01-23 21:24:29
7106227	fra	Ça ne sert à rien de farfouiller: il faut y aller!	2019-01-23 21:24:29
7106241	fra	Pourquoi s'en faire?	2019-01-23 21:24:29
7107751	fra	C'est toujours quand on n'a pas son parapluie qu'il se met à pleuvoir.	2019-01-23 21:24:29
7107926	fra	Il est vain de cueillir des figues avant qu'elles ne soient mûres.	2019-01-23 21:24:29
7108211	fra	Nous vivons dans un monde magnifique.	2019-01-23 21:24:29
7108265	fra	Nous vivons une belle époque.	2019-01-23 21:24:29
7108357	fra	A moissonner ne t'aventure, que la récolte ne soit mûre.	2019-01-23 21:24:29
7108609	fra	Elle est mal élevée: elle n'arrête pas de radoter.	2019-01-23 21:24:29
7108620	fra	Plus on vieillit, plus on entend dire des choses.	2019-01-23 21:24:29
7108628	fra	Ah, lui? ce n'est qu'un fanfaron!	2019-01-23 21:24:29
7108642	fra	Qui aurait pu se douter qu'on y arriverait?	2019-01-23 21:24:29
7108854	fra	Ecoutez voir!	2019-01-23 21:24:29
